property_type,price_aprox_usd,surface_covered_in_m2,lat,lon,state
apartment,289775.66,54.0,23.634501,-102.552788,Distrito Federal
house,79661.96,80.0,19.31033,-99.068557,Distrito Federal
apartment,48822.82,100.0,19.279771,-99.234597,Distrito Federal
apartment,337720.36,135.0,23.634501,-102.552788,Distrito Federal
apartment,875000.0,263.0,21.1902642,-86.8198375,Quintana Roo
apartment,232663.51,87.0,19.432657,-99.177444,Distrito Federal
apartment,166001.78,100.0,19.367025,-99.170349,Distrito Federal
house,109939.09,205.0,19.340909,-99.22511,Distrito Federal
house,84298.37,144.0,19.509359,-99.093272,Distrito Federal
house,342462.14,350.0,21.119158,-86.84693,Quintana Roo
house,231775.37,304.0,19.432901,-99.213075,Distrito Federal
apartment,94022.66,57.0,23.634501,-102.552788,Distrito Federal
apartment,300000.0,160.0,20.4987828982,-87.2228193283,Quintana Roo
apartment,172446.86,83.0,19.3794059,-99.1591446,Distrito Federal
apartment,66384.96,103.0,19.36269,-99.150565,Distrito Federal
apartment,115000.0,49.0,21.0511211635,-86.7828512192,Quintana Roo
house,257634.76,530.0,19.452952,-99.158166,Distrito Federal
house,37229.03,90.0,19.342911,-99.224472,Distrito Federal
house,117490.85,120.0,19.491083,-99.07564,Distrito Federal
apartment,70880.12,56.0,19.4024128,-99.0953907,Distrito Federal
apartment,68228.99,80.0,19.35782,-99.149406,Distrito Federal
apartment,24235.78,60.0,19.504985,-99.208557,Distrito Federal
apartment,258163.77,120.0,19.376792,-99.153132,Distrito Federal
apartment,30558.16,99.0,21.1541659192,-86.8471578694,Quintana Roo
house,89567.02,220.0,19.433895,-99.091159,Distrito Federal
apartment,94140.2,50.0,19.354219,-99.126244,Distrito Federal
apartment,34879.76,16.0,19.439716,-99.152892,Distrito Federal
house,37223.0,90.0,19.543273,-99.148777,Distrito Federal
house,131747.44,150.0,19.2690778853,-99.2035388947,Distrito Federal
apartment,1750000.0,734.0,19.420166,-99.220367,Distrito Federal
apartment,142200.81,90.0,19.367728,-99.156645,Distrito Federal
apartment,76395.4,90.0,19.400785,-99.147419,Distrito Federal
apartment,1125000.0,260.0,19.430456,-99.1889121,Distrito Federal
apartment,222389.68,0.0,19.376482,-99.2587951,Distrito Federal
apartment,258163.77,190.0,19.375658,-99.186109,Distrito Federal
house,305654.07,263.0,19.307427366,-99.1170322895,Distrito Federal
apartment,93311.24,114.0,19.39177,-99.159996,Distrito Federal
apartment,40103.52,65.0,19.366632,-99.1979,Distrito Federal
house,65873.72,99.0,21.161908,-86.8515279,Quintana Roo
apartment,68070.93,80.0,19.400731,-99.125466,Distrito Federal
apartment,350000.0,64.0,20.627081,-87.068985,Solidaridad
house,779759.96,804.0,19.519724,-99.14607,Distrito Federal
house,116437.12,445.0,19.469479,-99.104805,Distrito Federal
apartment,39409.48,61.0,19.337163,-99.080899,Distrito Federal
apartment,68666.76,117.0,20.65231,-87.092578,Quintana Roo
house,197574.31,124.0,19.279143,-99.130161,Distrito Federal
house,49999.47,60.0,19.361606,-99.201739,Distrito Federal
apartment,553339.27,320.0,19.390415,-99.254997,Distrito Federal
house,176499.72,200.0,19.374413,-99.105499,Distrito Federal
apartment,1053979.56,190.0,19.430456,-99.1889121,Distrito Federal
apartment,44794.13,55.0,19.435666,-99.14973,Distrito Federal
house,202842.96,200.0,19.412011,-99.106233,Distrito Federal
apartment,207057.88,180.0,19.41498,-99.177444,Distrito Federal
apartment,246572.74,120.0,19.393401,-99.165187,Distrito Federal
house,143236.95,90.0,19.276603,-99.137819,Distrito Federal
apartment,112046.55,112.0,19.431629,-99.162762,Distrito Federal
apartment,53399.87,60.0,19.2990233,-99.0436467,Distrito Federal
apartment,35847.88,65.0,19.453854,-99.193979,Distrito Federal
house,94858.16,200.0,19.3383626772,-99.0706713125,Distrito Federal
apartment,1478500.0,300.0,20.6523823712,-87.0461797714,Quintana Roo
apartment,29962.59,60.0,19.458968,-99.152898,Distrito Federal
house,70562.42,131.0,19.345087,-99.10273,Distrito Federal
apartment,168596.74,90.0,19.394073,-99.153915,Distrito Federal
house,52264.99,70.0,19.346749,-99.145944,Distrito Federal
apartment,35984.86,65.0,19.332034,-99.062028,Distrito Federal
house,168636.73,264.0,19.381207,-99.0978814,Distrito Federal
house,490100.49,900.0,21.1199835722,-86.8363599075,Quintana Roo
house,204493.78,287.0,19.3398,-99.215945,Distrito Federal
apartment,492618.62,159.0,19.3753948137,-99.1657587614,Distrito Federal
apartment,16967.15,50.0,19.305214,-99.046887,Distrito Federal
apartment,123813.23,147.0,19.387245,-99.147388,Distrito Federal
apartment,105794.45,63.0,19.366081,-99.139389,Distrito Federal
house,4000000.0,451.0,19.420166,-99.220367,Distrito Federal
apartment,37196.65,64.0,19.370272,-99.149127,Distrito Federal
apartment,204950.0,62.0,20.6546691,-87.0540165,Quintana Roo
house,84298.37,180.0,21.129547,-86.817017,Quintana Roo
house,77169.89,208.0,19.366935,-99.077541,Distrito Federal
apartment,79820.02,70.0,19.386715,-99.143999,Distrito Federal
house,379342.68,420.0,19.367827,-99.289665,Distrito Federal
apartment,29969.69,70.0,19.458968,-99.152898,Distrito Federal
house,822051.36,530.0,19.3641188,-99.2640457,Distrito Federal
apartment,68228.99,70.0,19.445471,-99.17317,Distrito Federal
apartment,71975.74,119.0,20.6543977622,-87.0861594379,Quintana Roo
apartment,52440.59,70.0,19.443903,-99.171681,Distrito Federal
apartment,182000.0,0.0,20.620914,-87.075059,Solidaridad
apartment,58990.79,100.0,19.314831,-99.140445,Distrito Federal
house,289775.66,310.0,19.464928,-99.180214,Distrito Federal
apartment,62644.22,86.0,19.317741,-99.119331,Distrito Federal
house,161220.64,200.0,19.367477,-99.222025,Distrito Federal
apartment,107347.81,80.0,19.305984,-99.127341,Distrito Federal
apartment,76940.5,60.0,19.365843,-99.149901,Distrito Federal
house,711267.53,650.0,19.401079,-99.24807,Distrito Federal
house,188038.06,250.0,19.383751,-99.071318,Distrito Federal
house,63223.78,110.0,23.634501,-102.552788,Zacatecas
apartment,79029.72,80.0,19.365843,-99.149901,Distrito Federal
house,468909.7,515.0,21.1070511,-86.8468159,Quintana Roo
apartment,68597.8,90.0,19.399841,-99.154813,Distrito Federal
house,147557.13,180.0,21.149599,-86.8317228,Quintana Roo
apartment,89588.26,80.0,21.1902642,-86.8198375,Quintana Roo
apartment,155425.12,73.0,19.394073,-99.153915,Distrito Federal
house,61906.61,90.0,19.363498,-99.015615,Distrito Federal
house,342543.35,387.0,19.3012112,-99.1290556,Distrito Federal
apartment,55847.67,70.0,19.465454,-99.162665,Distrito Federal
apartment,156444.61,52.0,19.405298,-99.164986,Distrito Federal
apartment,158059.45,90.0,23.634501,-102.552788,Distrito Federal
apartment,61864.46,69.0,19.334546,-99.207876,Distrito Federal
house,249266.16,985.0,19.286214,-99.222026,Distrito Federal
house,208111.61,311.0,19.271181,-99.137314,Distrito Federal
apartment,151773.05,0.0,19.4233932,-99.1682732,Distrito Federal
house,2160658.1,1050.0,19.390415,-99.254997,Distrito Federal
apartment,131905.54,69.0,19.403312,-99.151204,Distrito Federal
apartment,37039.91,70.0,19.376392,-99.192439,Distrito Federal
house,126447.56,187.0,19.390301,-99.11161,Distrito Federal
house,135430.6,250.0,19.373264,-99.104161,Distrito Federal
apartment,41358.15,80.0,19.416439,-99.125632,Distrito Federal
house,114593.1,150.0,19.271242,-99.160156,Distrito Federal
house,105397.95,180.0,21.1545808,-86.8523054,Quintana Roo
apartment,91147.61,70.0,19.401456,-99.146787,Distrito Federal
house,19005.85,65.0,19.326115,-99.109844,Distrito Federal
apartment,47376.38,54.0,19.4045899,-99.0601489,Distrito Federal
apartment,258224.99,84.0,19.4169673,-99.1658498,Distrito Federal
house,102763.0,269.0,21.164824,-86.8327018,Quintana Roo
apartment,197574.31,97.0,19.400249,-99.177444,Distrito Federal
apartment,99530.03,62.0,19.4553585442,-99.1632923484,Distrito Federal
apartment,79556.59,90.0,19.440749,-99.141649,Distrito Federal
apartment,77141.75,90.0,19.484532,-99.207027,Distrito Federal
apartment,44730.82,46.0,19.410307,-99.065399,Distrito Federal
apartment,168596.74,97.0,19.379376,-99.165182,Distrito Federal
apartment,52686.48,98.0,19.389044,-99.179657,Distrito Federal
house,212482.27,150.0,19.274141,-99.166374,Distrito Federal
apartment,123813.23,110.0,19.478473,-99.120734,Distrito Federal
apartment,129655.0,98.0,19.469769,-99.157379,Distrito Federal
house,200208.63,184.0,19.2801195,-99.2137844,Distrito Federal
apartment,66455.88,85.0,19.452143,-99.181477,Distrito Federal
apartment,1350000.0,350.0,19.4011351582,-99.2554439631,Distrito Federal
house,97996.85,2.0,19.4510306354,-99.065538235,Distrito Federal
apartment,147557.13,65.0,19.3499358,-99.2906864,Distrito Federal
house,83211.68,138.0,20.6572413506,-87.094373703,Quintana Roo
apartment,283453.28,287.0,19.43475,-99.189814,Distrito Federal
apartment,154724.19,74.0,19.3807458,-99.1553016,Distrito Federal
house,289844.37,350.0,21.082655,-86.857162,Quintana Roo
apartment,79626.82,351.0,19.445742,-99.159469,Distrito Federal
apartment,94858.16,64.0,19.386551,-99.193708,Distrito Federal
apartment,76395.4,64.0,19.466822,-99.157379,Distrito Federal
apartment,108475.57,63.0,19.370501,-99.139389,Distrito Federal
apartment,180230.5,150.0,19.382986,-99.241837,Distrito Federal
apartment,197574.31,203.0,21.051662,-86.852967,Quintana Roo
house,1577960.19,1084.0,19.326543,-99.195963,Distrito Federal
house,26870.1,100.0,19.383948,-99.067884,Distrito Federal
house,403854.93,368.0,19.2707122505,-99.1396721452,Distrito Federal
house,76131.96,144.0,19.4548897,-99.0538781,Distrito Federal
apartment,52686.48,10.0,19.417028,-99.065176,Distrito Federal
apartment,31822.63,75.0,19.462425,-99.17654,Distrito Federal
apartment,55252.24,302.0,19.306092,-99.113431,Distrito Federal
house,179134.04,80.0,19.286214,-99.222026,Distrito Federal
apartment,106918.42,105.0,19.408904,-99.174556,Distrito Federal
apartment,1895989.0,498.0,21.0906563,-86.7717484,Quintana Roo
house,125393.83,250.0,19.337902,-99.236776,Distrito Federal
apartment,800000.0,446.0,19.390415,-99.254997,Distrito Federal
house,136405.3,290.0,19.353288,-99.244721,Distrito Federal
apartment,71126.75,75.0,19.474885,-99.188231,Distrito Federal
apartment,30716.22,56.0,19.36994,-99.007399,Distrito Federal
apartment,225450.73,93.0,19.358585,-99.185753,Distrito Federal
apartment,141683.33,300.0,19.337013,-99.197613,Distrito Federal
apartment,54899.31,70.0,19.379525,-99.188914,Distrito Federal
apartment,407919.0,213.0,21.1651106632,-86.8201701343,Quintana Roo
house,297678.63,380.0,21.1095243506,-86.8429112434,Quintana Roo
apartment,68070.93,80.0,19.400731,-99.125466,Distrito Federal
apartment,262177.41,179.0,21.1902642,-86.8198375,Quintana Roo
apartment,325000.0,130.0,20.2024604644,-87.4630379677,Quintana Roo
apartment,213430.86,110.0,19.4124708,-99.1717827,Distrito Federal
apartment,89830.45,44.0,19.3563182,-99.2882606,Distrito Federal
house,580970.32,307.0,19.371502,-99.232647,Distrito Federal
house,131747.44,210.0,21.1543341422,-86.8512002751,Quintana Roo
apartment,175231.55,80.0,19.428324,-99.176337,Distrito Federal
house,217506.23,176.0,19.272594,-99.137045,Distrito Federal
apartment,45837.24,70.0,19.480501,-99.178139,Distrito Federal
house,147522.15,110.0,19.472634,-99.197437,Distrito Federal
apartment,62170.05,81.0,23.634501,-102.552788,Distrito Federal
house,79822.08,496.0,19.352528,-99.217276,Distrito Federal
apartment,98523.72,78.0,19.402752,-99.098587,Distrito Federal
apartment,75375.18,90.0,19.465454,-99.162665,Distrito Federal
apartment,421591.82,175.0,19.4114169,-99.1739405,Distrito Federal
apartment,223970.65,108.0,19.3853063,-99.1521292,Distrito Federal
apartment,49419.92,48.0,19.414261,-99.104118,Distrito Federal
house,113302.8,145.0,20.6384345312,-87.0732097328,Quintana Roo
apartment,440942.03,255.0,19.443152,-99.202733,Distrito Federal
apartment,73761.07,42.0,19.364996,-99.241523,Distrito Federal
apartment,106918.42,105.0,19.408904,-99.174556,Distrito Federal
apartment,55268.12,95.0,19.290953,-99.124863,Distrito Federal
house,55162.74,154.0,19.336441,-99.010132,Distrito Federal
apartment,420000.0,200.0,21.1279956,-86.7644738,Quintana Roo
house,173865.39,275.0,21.129547,-86.817017,Quintana Roo
apartment,334559.17,168.0,19.3609784,-99.2084005,Distrito Federal
house,156779.46,140.0,19.2865191,-99.2283274,Distrito Federal
apartment,73761.07,137.0,19.418048,-99.158527,Distrito Federal
apartment,495463.43,288.0,19.443178,-99.20237,Distrito Federal
house,115462.42,130.0,19.281164,-99.20237,Distrito Federal
house,3350000.0,1200.0,19.4122137,-99.2153341,Distrito Federal
apartment,31875.32,70.0,19.405883,-99.183079,Distrito Federal
apartment,549000.0,234.0,21.116732,-86.768234,Quintana Roo
apartment,42823.57,70.0,19.471896,-99.224024,Distrito Federal
house,81664.04,0.0,21.139086,-86.84964,Quintana Roo
house,426861.72,395.0,20.6764114797,-87.0514203197,Quintana Roo
apartment,52698.97,63.0,19.309208,-99.171906,Distrito Federal
house,73778.56,252.0,19.354297,-98.9978448,Distrito Federal
house,260798.09,260.0,19.306892,-99.105556,Distrito Federal
apartment,47681.26,60.0,19.304501,-99.123121,Distrito Federal
apartment,157690.64,75.0,19.39365,-99.14769,Distrito Federal
apartment,241936.33,64.0,19.409369,-99.171906,Distrito Federal
apartment,66384.96,75.0,19.36269,-99.150565,Distrito Federal
apartment,252895.12,150.0,19.3392293,-99.2189838,Distrito Federal
house,1132759.4,682.0,19.395424,-99.258068,Distrito Federal
apartment,131716.2,208.0,19.464712,-99.124872,Distrito Federal
apartment,350000.0,221.0,19.993998,-87.1875,Solidaridad
apartment,89514.33,51.0,19.400097,-99.122093,Distrito Federal
apartment,165962.42,97.0,19.367025,-99.170349,Distrito Federal
apartment,76614.89,75.0,19.484532,-99.207027,Distrito Federal
apartment,69546.15,65.0,19.278198,-99.200831,Distrito Federal
house,94835.67,300.0,23.634501,-102.552788,Quintana Roo
house,231875.5,450.0,19.3972156,-99.0648632,Distrito Federal
apartment,38039.64,74.0,19.383251,-99.105499,Distrito Federal
apartment,52067.41,75.0,19.461871,-99.129227,Distrito Federal
apartment,74498.68,60.0,19.422398,-99.167129,Distrito Federal
apartment,289844.37,164.0,19.41498,-99.177444,Distrito Federal
apartment,85000.0,39.0,21.137383,-86.768717,Quintana Roo
apartment,106061.54,63.0,19.303736,-99.163605,Distrito Federal
house,131716.2,200.0,21.0958115744,-86.8690896034,Quintana Roo
apartment,39585.14,75.0,19.453513,-99.210223,Distrito Federal
house,86405.83,120.0,20.6140672951,-87.1172904968,Quintana Roo
house,173906.62,198.0,19.3661948918,-99.1211414337,Distrito Federal
apartment,180187.77,120.0,19.365766,-99.263112,Distrito Federal
apartment,34720.39,50.0,19.439037,-99.119514,Distrito Federal
house,1185727.0,600.0,19.4010793,-99.2480728,Distrito Federal
house,40683.61,82.0,21.139086,-86.84964,Quintana Roo
house,161220.64,300.0,19.367477,-99.222025,Distrito Federal
apartment,47417.83,66.0,19.384327,-99.215523,Distrito Federal
apartment,34720.39,60.0,19.317698,-99.061256,Distrito Federal
apartment,143342.37,100.0,19.422201,-99.159447,Distrito Federal
apartment,68508.67,90.0,19.503195,-99.206723,Distrito Federal
house,63238.77,247.0,19.364245,-99.302638,Distrito Federal
apartment,225498.15,74.0,19.405298,-99.164986,Distrito Federal
apartment,168636.73,95.0,19.3687777,-99.1897886,Distrito Federal
apartment,34246.21,59.0,19.524143,-99.160149,Distrito Federal
apartment,565500.0,136.0,20.6347622491,-87.0636034012,Quintana Roo
apartment,31717.26,65.0,19.325608,-99.06112,Distrito Federal
apartment,31225.54,40.0,19.457685,-99.121754,Distrito Federal
house,44794.13,0.0,21.129547,-86.817017,Quintana Roo
apartment,158059.45,100.0,19.3677299,-99.1527773,Distrito Federal
apartment,85668.22,70.0,19.332149,-99.244008,Distrito Federal
apartment,750000.0,239.0,21.1295101033,-86.7501325607,Quintana Roo
apartment,520522.86,243.0,19.420103,-99.171297,Distrito Federal
house,50315.59,100.0,20.678161,-87.053842,Solidaridad
house,79822.08,148.0,19.352528,-99.217276,Distrito Federal
house,168596.74,320.0,19.481972,-99.199944,Distrito Federal
apartment,49055.95,70.0,20.6542296048,-87.087635994,Quintana Roo
apartment,89567.02,64.0,19.410307,-99.065399,Distrito Federal
house,173906.62,185.0,21.100996554,-86.8623733521,Quintana Roo
apartment,390000.0,200.0,21.1295466,-86.8170132,Quintana Roo
apartment,66014.21,540.0,19.334351,-99.11442,Distrito Federal
apartment,255529.44,112.0,19.403489,-99.156312,Distrito Federal
house,98471.03,204.0,19.515999,-99.155679,Distrito Federal
apartment,54899.31,60.0,19.379109,-99.187689,Distrito Federal
house,2000000.0,619.0,19.3472426513,-99.1838417575,Distrito Federal
apartment,51632.75,85.0,19.452419,-99.175058,Distrito Federal
apartment,68492.42,50.0,19.287188,-99.170525,Distrito Federal
apartment,44203.95,60.0,19.475187,-99.175019,Distrito Federal
house,285628.46,370.0,19.508795,-99.125714,Distrito Federal
apartment,484715.65,100.0,19.438042,-99.188619,Distrito Federal
apartment,120652.04,120.0,19.367931,-99.170262,Distrito Federal
apartment,142253.5,81.0,19.367424,-99.185753,Distrito Federal
apartment,60589.45,101.0,19.314895,-99.09423,Distrito Federal
store,210795.91,280.0,21.1579193,-86.8238997,Quintana Roo
apartment,46469.47,76.0,19.273716,-99.186416,Distrito Federal
apartment,139968.48,64.0,19.365391,-99.18956,Distrito Federal
apartment,86827.32,75.0,19.396862,-99.172659,Distrito Federal
apartment,19030.83,43.0,19.346609,-99.072311,Distrito Federal
apartment,168596.74,100.0,23.634501,-102.552788,Distrito Federal
apartment,44730.82,46.0,19.410307,-99.065399,Distrito Federal
apartment,184446.42,106.0,19.3714480121,-99.149787426,Distrito Federal
house,151671.87,294.0,19.307933,-99.240102,Distrito Federal
house,152790.8,250.0,19.486041,-99.067297,Distrito Federal
apartment,625000.0,350.0,19.420166,-99.220367,Distrito Federal
house,205477.28,235.0,23.634501,-102.552788,Distrito Federal
apartment,54688.57,69.0,19.422243,-99.127305,Distrito Federal
house,158096.93,200.0,21.161908,-86.8515279,Quintana Roo
apartment,75375.18,85.0,19.469418,-99.164299,Distrito Federal
apartment,94673.92,116.0,19.387782,-99.186194,Distrito Federal
house,385000.0,220.0,20.613448043,-87.0964579575,Quintana Roo
apartment,310923.97,60.0,19.411472,-99.188522,Distrito Federal
house,150719.07,300.0,19.311361,-99.109672,Distrito Federal
apartment,458372.4,213.0,19.388965,-99.171897,Distrito Federal
apartment,1850000.0,400.0,19.396714267,-99.2374929786,Distrito Federal
apartment,60603.82,53.0,19.262049,-99.1138,Distrito Federal
apartment,60030.97,70.0,19.402944,-99.199727,Distrito Federal
apartment,995000.0,330.0,19.413143,-99.2305521,Distrito Federal
apartment,54372.45,75.0,19.379525,-99.188914,Distrito Federal
apartment,62433.48,70.0,19.346767,-99.123658,Distrito Federal
house,100104.31,204.0,19.515966,-99.15581,Distrito Federal
apartment,690000.0,130.0,21.1612887,-86.8397009,Quintana Roo
apartment,42096.5,23.0,19.451994,-99.128867,Distrito Federal
house,1028494.71,417.0,19.4326577,-99.1774462,Distrito Federal
house,65858.1,103.0,21.192402,-86.834587,Quintana Roo
apartment,68546.74,55.0,19.384808,-99.137496,Distrito Federal
house,342462.14,325.0,19.340202,-99.257774,Distrito Federal
apartment,139619.18,75.0,19.45337,-99.181695,Distrito Federal
house,26870.1,52.0,19.455979,-99.122144,Distrito Federal
house,76395.4,128.0,21.139086,-86.84964,Benito Juárez
apartment,168849.64,63.0,19.397397,-99.155802,Distrito Federal
apartment,117735.94,62.0,19.4306069,-99.0949899,Distrito Federal
apartment,167421.83,97.0,19.341894,-99.224525,Distrito Federal
house,144835.14,270.0,19.474582,-99.139835,Distrito Federal
house,150683.34,175.0,23.634501,-102.552788,Distrito Federal
apartment,76922.26,80.0,23.634501,-102.552788,Distrito Federal
apartment,720000.0,250.0,19.3929373,-99.2633141,Distrito Federal
apartment,38303.07,50.0,19.283388,-99.055038,Distrito Federal
apartment,168596.74,100.0,19.431629,-99.162762,Distrito Federal
apartment,426861.72,235.0,19.3864346,-99.1594925,Distrito Federal
apartment,175231.5,115.0,19.428324,-99.176337,Distrito Federal
apartment,1500000.0,350.0,19.371342,-99.253616,Distrito Federal
apartment,194986.21,60.0,19.4445115,-99.1895493,Distrito Federal
apartment,313484.57,94.0,19.429392,-99.181017,Distrito Federal
apartment,473816.51,157.0,19.394358,-99.177444,Distrito Federal
house,124369.58,0.0,20.6227211606,-87.0993175486,Quintana Roo
house,101263.42,150.0,19.358008,-99.127094,Distrito Federal
apartment,54688.57,70.0,19.456145,-99.201167,Distrito Federal
house,39524.23,180.0,21.161908,-86.8515279,Quintana Roo
apartment,73761.07,0.0,19.365156,-99.1138,Distrito Federal
apartment,47207.08,48.0,19.410307,-99.065399,Distrito Federal
apartment,94858.16,110.0,19.400785,-99.147419,Distrito Federal
apartment,326656.19,137.0,19.275206,-99.218292,Distrito Federal
apartment,71126.75,0.0,19.4535629028,-99.182510376,Distrito Federal
apartment,233851.71,125.0,19.394358,-99.177444,Distrito Federal
house,167582.75,142.0,19.2681974,-99.1307421,Distrito Federal
house,101158.04,312.0,19.444992,-99.108269,Distrito Federal
apartment,167421.83,97.0,19.341894,-99.224525,Distrito Federal
apartment,75815.85,90.0,19.334546,-99.207876,Distrito Federal
apartment,37201.39,85.0,19.370272,-99.149127,Distrito Federal
house,410954.57,557.0,19.417539,-99.136296,Distrito Federal
house,121178.91,200.0,19.516777,-99.160149,Distrito Federal
apartment,168596.74,126.0,19.437841,-99.220367,Distrito Federal
apartment,110667.85,150.0,19.48527,-99.200287,Distrito Federal
apartment,27198.6,70.0,19.307417,-99.125191,Distrito Federal
house,776086.39,429.0,19.357464,-99.207909,Distrito Federal
house,94067.67,128.0,19.492686,-99.097877,Distrito Federal
apartment,145000.0,88.0,20.6167183342,-87.0924425125,Quintana Roo
apartment,90058.74,75.0,19.384808,-99.155339,Distrito Federal
house,50727.6,100.0,19.397059,-99.184501,Distrito Federal
apartment,225498.15,75.0,19.409095,-99.163216,Distrito Federal
house,150683.34,160.0,19.300714,-99.12215,Distrito Federal
house,195466.85,354.0,19.275756,-99.207832,Distrito Federal
apartment,368892.84,165.0,19.4097609,-99.1686282,Distrito Federal
house,1500000.0,450.0,21.1117463016,-86.7666184902,Quintana Roo
apartment,68861.23,51.0,19.473415,-99.143539,Distrito Federal
house,116464.74,12.0,19.4669373,-99.1013994,Distrito Federal
apartment,439932.13,147.0,19.430132,-99.169144,Distrito Federal
house,658737.22,0.0,19.2831289,-99.2217537,Distrito Federal
house,342462.14,431.0,19.3073525,-99.1061901,Distrito Federal
apartment,263432.41,180.0,21.161908,-86.8515279,Quintana Roo
apartment,54952.0,89.0,19.44673,-99.161695,Distrito Federal
apartment,226605.6,136.0,19.394358,-99.177444,Distrito Federal
house,164645.26,518.0,19.337688,-99.059181,Distrito Federal
house,63223.78,180.0,19.364245,-99.302638,Distrito Federal
apartment,526864.83,293.0,19.354509,-99.149765,Distrito Federal
house,62606.38,106.0,19.469688,-99.085456,Distrito Federal
house,202842.96,263.0,19.28127,-99.132254,Distrito Federal
apartment,131747.44,100.0,19.3898619,-99.1674138,Distrito Federal
apartment,33930.09,60.0,19.302076,-99.049427,Distrito Federal
apartment,574282.67,212.0,19.392874,-99.264987,Distrito Federal
apartment,93255.07,69.0,19.472155,-99.161186,Distrito Federal
apartment,142253.5,55.0,19.372684,-99.183678,Distrito Federal
apartment,52100.61,52.0,19.456439,-99.144414,Distrito Federal
apartment,91147.61,200.0,19.401507,-99.14682,Distrito Federal
apartment,700000.0,410.0,19.390415,-99.254997,Distrito Federal
apartment,215000.0,51.0,20.6295586,-87.0738851,Solidaridad
apartment,130900.0,33.0,20.623687,-87.083843,Solidaridad
house,3000000.0,1200.0,19.320575,-99.20929,Distrito Federal
apartment,163328.09,90.0,19.368475,-99.17952,Distrito Federal
apartment,54829.08,66.0,19.368823,-99.224603,Distrito Federal
apartment,55333.92,98.0,19.3549174,-99.0993735,Distrito Federal
apartment,225504.19,65.0,19.358585,-99.185753,Distrito Federal
apartment,142287.24,119.0,19.3703820187,-99.1493282287,Distrito Federal
apartment,53158.13,90.0,19.395097,-99.150424,Distrito Federal
house,169123.61,300.0,19.365271,-99.232466,Distrito Federal
apartment,26870.1,64.0,19.320269,-99.055412,Distrito Federal
house,118572.7,290.0,21.1773896,-86.8179603,Benito Juárez
apartment,210745.93,106.0,19.367745,-99.180127,Distrito Federal
apartment,60589.45,65.0,19.468092,-99.088883,Distrito Federal
house,357214.36,240.0,19.338417,-99.156145,Distrito Federal
house,58771.77,100.0,19.325155,-99.088905,Distrito Federal
